iter	RMSE
127	1.994016654
128	1.992724266
129	1.990227374
130	1.988560722
131	1.987145981
132	1.985016154
133	1.983899253
134	1.982959596
135	1.981272451
136	1.979763814
137	1.978341217
138	1.975995846
139	1.974674717
140	1.973735789
141	1.971554859
142	1.970152532
143	1.969012201
144	1.967743429
145	1.96654809
146	1.964417743
147	1.963093659
148	1.962088177
149	1.960190811
150	1.958323448
151	1.956939457
152	1.955914501
153	1.954473244
154	1.952617142
155	1.950686412
156	1.949969713
157	1.948302426
158	1.947217296
159	1.945406677
160	1.944790137
161	1.943824419
162	1.942403125
163	1.940451667
164	1.939725616
165	1.938305621
166	1.937985544
167	1.937019741
168	1.935167588
169	1.934410708
170	1.933403768
171	1.933040515
172	1.932022308
173	1.930783553
174	1.930396545
175	1.929280862
176	1.927726022
177	1.92697567
178	1.926630991
179	1.92526662
180	1.923774112
181	1.922769388
182	1.921406748
183	1.920787077
184	1.920605955
185	1.918333282
186	1.916764336
187	1.916377523
188	1.915427408
189	1.914507477
190	1.913237588
191	1.912342501
192	1.911095453
193	1.909568745
194	1.909157749
195	1.90847332
196	1.907463777
197	1.907104707
198	1.906575197
199	1.904779874
200	1.904235108
201	1.903602249
202	1.903195777
203	1.902955943
204	1.901673134
205	1.901115758
206	1.898591191
207	1.897126393
208	1.896322595
209	1.8945867
210	1.894187685
211	1.891779236
212	1.890552184
213	1.888431482
214	1.88804728
215	1.887422069
216	1.885373865
217	1.883734969
218	1.883073616
219	1.882170187
220	1.881861458
221	1.881609326
222	1.881315068
223	1.880650791
224	1.878750176
225	1.878577161
226	1.877114178
227	1.875464176
228	1.872953682
229	1.872688104
230	1.870107292
231	1.868337092
232	1.867062029
233	1.866315621
234	1.865503883
235	1.865153571
236	1.862845443
237	1.861993084
238	1.861371566
239	1.859029874
240	1.858396339
241	1.85790928
242	1.856441353
243	1.854744999
244	1.854324367
245	1.853704022
246	1.851845316
247	1.850057436
248	1.849501149
249	1.848806029
250	1.848031006
251	1.846162858
252	1.845495458
253	1.842966588
254	1.840767809
255	1.838645356
256	1.837845877
257	1.836653765
258	1.835316439
259	1.83487749
260	1.834476392
261	1.833298703
262	1.833019515
263	1.832400202
264	1.831493087
265	1.830551194
266	1.828881953
267	1.828254502
268	1.826954432
269	1.825674887
270	1.824351788
271	1.823379474
272	1.822041528
273	1.819709376
274	1.817762419
275	1.815699006
276	1.813822145
277	1.813320249
278	1.811370909
279	1.810785551
280	1.810621195
281	1.808751673
282	1.80817355
283	1.807627518
284	1.806578888
285	1.806105624
286	1.804671154
287	1.803600136
288	1.802285621
289	1.80105074
290	1.79982538
291	1.799547278
292	1.799274411
293	1.798817509
294	1.797040998
295	1.796051019
296	1.794608126
297	1.794517831
298	1.792206039
299	1.791965396
300	1.791592292
301	1.791246882
302	1.791137896
303	1.790452483
304	1.788484435
305	1.7873507
306	1.786841481
307	1.785328696
308	1.784632378
309	1.783514399
310	1.783296653
311	1.78311348
312	1.78300171
313	1.781337042
314	1.781197426
315	1.780765291
316	1.780080005
317	1.779203653
318	1.778420781
319	1.777845293
320	1.777400825
321	1.776017372
322	1.775335756
323	1.77485547
324	1.774769406
325	1.774556601
326	1.774484363
327	1.773783023
328	1.773564736
329	1.771514221
330	1.771399349
331	1.769981611
332	1.769253184
333	1.767929633
334	1.767147304
335	1.766649812
336	1.765457348
337	1.765238043
338	1.76393306
339	1.762005439
340	1.760358119
341	1.759985444
342	1.759407655
343	1.759268824
344	1.757450258
345	1.756598204
346	1.755350148
347	1.75507452
348	1.754065362
349	1.753690303
350	1.752098966
351	1.751672258
352	1.751499276
353	1.749969715
354	1.748310382
355	1.747890914
356	1.747677549
357	1.747223558
358	1.746887457
359	1.745469447
360	1.745158683
361	1.744830827
362	1.744483269
363	1.744266557
364	1.744118639
365	1.742716119
366	1.741834288
367	1.740697318
368	1.740250399
369	1.739850994
370	1.739614102
371	1.738327613
372	1.73787714
373	1.736510346
374	1.735197488
375	1.734712052
376	1.734061648
377	1.733176428
378	1.732271684
379	1.730767012
380	1.730468657
381	1.728767307
382	1.727589907
383	1.727442713
384	1.727001171
385	1.725048732
386	1.723657934
387	1.721876135
388	1.721115892
389	1.720432584
390	1.719599405
391	1.718805238
392	1.718110415
393	1.71734819
394	1.716113505
395	1.714592486
396	1.712838197
397	1.711401735
398	1.710477725
399	1.709918554
400	1.708087317
401	1.707321727
402	1.705882276
403	1.704518468
404	1.702989772
405	1.701058776
406	1.700962866
407	1.700749219
408	1.69889046
409	1.697276877
410	1.696001645
411	1.695123075
412	1.693647251
413	1.692620553
414	1.691339026
415	1.691201451
416	1.690711151
417	1.688927129
418	1.688850082
419	1.688006024
420	1.686914986
421	1.686230952
422	1.686201913
423	1.684933001
424	1.683559773
425	1.683222072
426	1.68319484
427	1.682571099
428	1.681476571
429	1.681310593
430	1.680987953
431	1.680281638
432	1.678859965
433	1.678472704
434	1.678253775
435	1.677938459
436	1.676591403
437	1.67568991
438	1.67517511
439	1.674929741
440	1.67452055
441	1.67428414
442	1.673997806
443	1.673392285
444	1.672518217
445	1.671444502
446	1.66959052
447	1.669244187
448	1.668677247
449	1.667534236
450	1.667486712
451	1.66634228
452	1.666131317
453	1.665995725
454	1.66539124
455	1.664388764
456	1.662687302
457	1.662654205
458	1.661254436
459	1.660865026
460	1.65998938
461	1.659839253
462	1.658732293
463	1.65843797
464	1.657775652
465	1.657389535
466	1.656919803
467	1.656449379
468	1.655743909
469	1.654191944
470	1.653610734
471	1.653225546
472	1.65184456
473	1.651705799
474	1.650857782
475	1.649540674
476	1.649290796
477	1.647266892
478	1.646720294
479	1.646569767
480	1.645814003
481	1.645765054
482	1.644465416
483	1.643916533
484	1.641665074
485	1.641415898
486	1.640198392
487	1.639415657
488	1.638773761
489	1.638418858
490	1.637664142
491	1.636310324
492	1.634316323
493	1.632650688
494	1.632369799
495	1.630910843
496	1.630136663
497	1.628964309
498	1.627386158
499	1.626308295
